"titles" "years" "links" "rateCount" "rateValue" "genre" "director" "production" "time"
"Coco " "2017" "/film/Coco-2017-752260" 122883 "8,11" "Animacja  /  Familijny  /  Przygodowy" "  Lee Unkrich   /    Adrian Molina " "USA" "1 godz. 49 min."
"Gladiator " "2000" "/film/Gladiator-2000-936" 740823 "8,09" "Dramat historyczny" "  Ridley Scott " "USA  /  Wielka Brytania" "2 godz. 35 min."
"Ch³opiec w pasiastej pi¿amie " "2008" "/film/Ch%C5%82opiec+w+pasiastej+pi%C5%BCamie-2008-420136" 384155 "8,08" "Dramat  /  Wojenny" "  Mark Herman " "USA  /  Wielka Brytania" "1 godz. 33 min."
"Braveheart - Waleczne Serce " "1995" "/film/Braveheart+-+Waleczne+Serce-1995-1052" 388575 "8,07" "Dramat historyczny" "  Mel Gibson " "USA" "2 godz. 57 min."
"Szeregowiec Ryan " "1998" "/film/Szeregowiec+Ryan-1998-179" 629315 "8,07" "Dramat  /  Wojenny" "  Steven Spielberg " "USA" "2 godz. 50 min."
"Prze³êcz ocalonych " "2016" "/film/Prze%C5%82%C4%99cz+ocalonych-2016-658802" 210888 "8,07" "Biograficzny  /  Dramat  /  Wojenny" "  Mel Gibson " "Australia  /  USA" "2 godz. 19 min."
"Whiplash " "2014" "/film/Whiplash-2014-698847" 276350 "8,06" "Dramat  /  Muzyczny" "  Damien Chazelle " "USA" "1 godz. 45 min."
"Buntownik z wyboru " "1997" "/film/Buntownik+z+wyboru-1997-21" 266195 "8,06" "Dramat obyczajowy" "  Gus Van Sant " "USA" "2 godz. 6 min."
"Presti¿ " "2006" "/film/Presti%C5%BC-2006-259945" 375024 "8,05" "Dramat  /  Thriller" "  Christopher Nolan " "USA  /  Wielka Brytania" "2 godz. 10 min."
"Avengers: Wojna bez granic " "2018" "/film/Avengers%3A+Wojna+bez+granic-2018-693758" 175501 "8,05" "Akcja  /  Sci-Fi" "  Anthony Russo   /    Joe Russo " "USA" "2 godz. 29 min."
"Zapach kobiety " "1992" "/film/Zapach+kobiety-1992-1093" 337742 "8,05" "Dramat" "  Martin Brest " "USA" "2 godz. 37 min."
"Czas Apokalipsy " "1979" "/film/Czas+Apokalipsy-1979-1092" 172738 "8,04" "Dramat  /  Wojenny" "  Francis Ford Coppola " "USA" "2 godz. 33 min."
"Gwiezdne wojny: Czêœæ V - Imperium kontratakuje " "1980" "/film/Gwiezdne+wojny%3A+Cz%C4%99%C5%9B%C4%87+V+-+Imperium+kontratakuje-1980-525" 288373 "8,04" "Przygodowy  /  Sci-Fi" "  Irvin Kershner " "USA" "2 godz. 4 min."
